time_of_day,day_type,trip_count,total_revenue,avg_revenue_per_trip
Afternoon,Weekday,560174,1.506674592E7,26.9
Afternoon,Weekend,192018,4714624.6,24.55
Evening,Weekday,690554,1.962631098E7,28.42
Evening,Weekend,218840,5817054.17,26.58
Late,Weekday,228462,6237291.83,27.3
Late,Weekend,68065,1916897.56,28.16
Morning,Weekday,305593,8173718.42,26.75
Morning,Weekend,55575,1570334.16,28.26
Night,Weekday,208888,6433753.85,30.8
Night,Weekend,175895,4429655.89,25.18
