trip_length_category,trip_count,avg_fare,avg_tip_pct,percentage
Short,1562061,9.75,23.49,57.77
Medium,712417,18.52,19.88,26.35
Long,299412,38.69,17.11,11.07
Very Long,130174,74.6,15.35,4.81
